subscription_id,customer_id,inventory_id,type,start_date,end_date
1,f0ee57c4-652b-4dcc-b4b9-3c58c5607350,160,rent,2025-07-09 03:27:08.416094,2025-07-16 03:27:08.416094
2,f0ee57c4-652b-4dcc-b4b9-3c58c5607350,53,flatrate,2025-01-10 03:27:08.416121,2025-02-09 03:27:08.416121
3,b62c0f66-4b4a-4b20-be26-cdc52fd9a1d5,143,flatrate,2025-02-11 03:27:08.416149,2025-03-13 03:27:08.416149
4,b62c0f66-4b4a-4b20-be26-cdc52fd9a1d5,78,flatrate,2025-08-26 03:27:08.416161,2025-09-25 03:27:08.416161
5,b62c0f66-4b4a-4b20-be26-cdc52fd9a1d5,151,flatrate,2025-01-11 03:27:08.416170,2025-02-10 03:27:08.416170
6,b62c0f66-4b4a-4b20-be26-cdc52fd9a1d5,135,flatrate,2025-07-19 03:27:08.416180,2025-08-18 03:27:08.416180
7,24616693-ffbf-4ba2-bcbf-81b1b72ec7f3,44,flatrate,2025-01-22 03:27:08.416199,2025-02-21 03:27:08.416199
8,24616693-ffbf-4ba2-bcbf-81b1b72ec7f3,74,flatrate,2025-10-13 03:27:08.416208,2025-11-12 03:27:08.416208
9,24616693-ffbf-4ba2-bcbf-81b1b72ec7f3,151,flatrate,2025-09-13 03:27:08.416216,2025-10-13 03:27:08.416216
10,de8b67f6-12c7-4c0b-9bae-5f2e2f41663f,48,flatrate,2025-01-19 03:27:08.416235,2025-02-18 03:27:08.416235
11,de8b67f6-12c7-4c0b-9bae-5f2e2f41663f,40,flatrate,2025-07-23 03:27:08.416247,2025-08-22 03:27:08.416247
12,de8b67f6-12c7-4c0b-9bae-5f2e2f41663f,23,flatrate,2025-07-20 03:27:08.416257,2025-08-19 03:27:08.416257
13,7fc8ccbf-dfbc-4934-9763-63d4724ab26d,91,rent,2025-10-07 03:27:08.416276,2025-10-14 03:27:08.416276
14,36624524-50fc-48fb-84f9-35e8ff5944cf,23,flatrate,2025-08-15 03:27:08.416297,2025-09-14 03:27:08.416297
15,36624524-50fc-48fb-84f9-35e8ff5944cf,130,rent,2025-05-30 03:27:08.416306,2025-06-06 03:27:08.416306
16,36624524-50fc-48fb-84f9-35e8ff5944cf,147,flatrate,2025-03-10 03:27:08.416315,2025-04-09 03:27:08.416315
17,36624524-50fc-48fb-84f9-35e8ff5944cf,74,flatrate,2025-06-06 03:27:08.416323,2025-07-06 03:27:08.416323
18,7324c569-5c22-4999-a426-b1f9039aff45,74,flatrate,2025-02-14 03:27:08.416337,2025-03-16 03:27:08.416337
19,bc92deb0-f7eb-40ec-89cc-137124512dd3,153,flatrate,2025-02-14 03:27:08.416352,2025-03-16 03:27:08.416352
20,bc92deb0-f7eb-40ec-89cc-137124512dd3,151,flatrate,2025-11-29 03:27:08.416360,2025-12-29 03:27:08.416360
21,bc92deb0-f7eb-40ec-89cc-137124512dd3,103,flatrate,2025-09-02 03:27:08.416368,2025-10-02 03:27:08.416368
22,d52d65f1-fbbb-49a3-b0e3-e946eae1245b,151,flatrate,2025-01-29 03:27:08.416382,2025-02-28 03:27:08.416382
23,d52d65f1-fbbb-49a3-b0e3-e946eae1245b,105,flatrate,2025-01-21 03:27:08.416390,2025-02-20 03:27:08.416390
24,eafc0338-06d0-4b17-8730-fc324b80d919,151,flatrate,2025-08-27 03:27:08.416404,2025-09-26 03:27:08.416404
25,eafc0338-06d0-4b17-8730-fc324b80d919,109,flatrate,2025-03-18 03:27:08.416413,2025-04-17 03:27:08.416413
