film_id,provider_id
278,10
238,257
238,10
240,257
240,10
424,10
389,9
389,10
129,1899
129,10
155,1899
155,10
19404,8
19404,2
497,8
497,10
496243,8
496243,10
122,1899
122,10
680,8
680,10
372058,1899
372058,10
429,257
429,10
157336,582
157336,10
13,8
13,10
769,257
769,10
346,1899
346,10
12477,8
12477,10
637,10
550,2
550,10
14537,258
14537,10
11216,257
11216,10
120,1899
120,10
598,10
667257,257
539,361
539,10
510,10
121,1899
121,10
696374,2427
696374,10
255709,10
311,9
311,10
324857,8
324857,10
1891,337
1891,10
4935,1899
4935,10
378064,10
423,9
423,10
807,10
244786,8
244786,10
27205,1899
27205,10
770156,9
770156,10
724089,2427
724089,10
761053,2427
761053,10
1058694,9
1058694,10
567,9
567,10
274,10
12493,1899
12493,10
569094,337
569094,10
73,10
128,1899
128,10
820067,8
820067,2
105,10
620249,283
620249,10
1184918,8
1184918,10
3782,1899
3782,10
372754,10
207,15
207,10
101,10
10494,1899
10494,10
15804,258
15804,10
533514,8
533514,10
652837,283
652837,10
914,257
914,10
599,257
599,10
42269,258
3082,9
3082,10
335,257
335,10
1218925,10
1139087,337
1356039,8
1585,9
1585,10
77338,10
18491,8
18491,10
1186532,8
1186532,10
28,2
901,9
901,10
975,257
975,10
632632,283
632632,2
8587,337
8587,2
8587,10
637920,8
637920,2
10376,10
572154,1968
670,10
654299,8
447362,10
29259,258
630566,10
299534,337
299534,10
603,34
603,2
299536,337
299536,10
508965,8
490132,257
490132,10
24188,258
24188,10
527641,10
